UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad de Castilla- La Mancha","Facultad de Derecho y Ciencias Sociales",Grado en Derecho,Pública / Propio,140,"5,007","7,76",67 %,240,"12,13 €" 
Universidad de Murcia,"Facultad de Trabajo Social","Grado en Trabajo Social",Pública / Propio,150,"5,007","8,88",86 %,240,"14,38 €" 
"Universidad de La Laguna","Facultad de Humanidades","Grado en Estudios Clásicos",Pública / Propio,50,"5,006","7,88",70 %,240,"9,47 €" 
"Universidad de Extremadura","Facultad de Formación del Profesorado","Grado en Educación Infantil",Pública / Propio,140,"5,004","7,86",92 %,240,"12,33 €" 
"Universidad Pública de Navarra","Facultad de Ciencias Jurídicas","Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,60,"5,004","7,57",76 %,240,"16,25 €" 
Universidad de Oviedo,"Escuela Politécnica de Ingeniería de Gijón","Grado en Ingeniería Informática en Tecnologías de la Información",Pública / Propio,121,"5,004","7,4",61 %,240,"12,30 €" 
Universidad de Murcia,Facultad de Letras,"Grado en Lengua y Literatura Españolas",Pública / Propio,140,"5,003","9,08",72 %,240,"14,38 €" 
Universidad de Oviedo,Facultad Padre Ossó,"Grado en Educación Social",Pública / Adscrito,42,"5,002","6,51",75 %,240, 
"Universidad Complutense de Madrid",Facultad de Filología,"Grado en Lenguas Modernas y sus Literaturas",Pública / Propio,250,"5,002","8,15",73 %,240,"21,39 €" 
"Universitat de les Illes Balears","Facultad de Filosofía y Letras",Grado en Historia,Pública / Propio,70,"5,002","7,16",74 %,240,"11,59 €" 
"Universidad de Extremadura","Escuela de Ingenierías Agrarias","Grado en Ingeniería de las Industrias Agrarias y Alimentarias",Pública / Propio,40,"5,002","6,96",66 %,240,"16,83 €" 
"Universitat de les Illes Balears","Facultad de Filosofía y Letras","Grado en Trabajo Social",Pública / Propio,70,"5,002","6,66",81 %,240,"16,21 €" 
"Universidad Complutense de Madrid","Escuela Universitaria de Profesorado de E.G.B. Fomento de Centros de Enseñanza","Grado en Maestro en Educación Infantil",Pública / Adscrito,80,5,"8,76",95 %,240, 
"Universidad Complutense de Madrid","Escuela Universitaria de Profesorado de E.G.B. Escuni","Grado en Maestro en Educación Infantil",Pública / Adscrito,150,5,"6,93",95 %,240, 
Universidad de Almería,"Facultad de Ciencias de la Educación","Grado en Educación Infantil",Pública / Propio,208,5,"7,76",92 %,240,"12,62 €" 
Universidad de Burgos,Facultad de Educación,"Grado en Maestro o Maestra de Educación Infantil",Pública / Propio,80,5,"6,65",94 %,240,"15,22 €" 
Universidad de Cádiz,"Centro de Magisterio Virgen de Europa","Grado en Educación Infantil",Pública / Adscrito,90,5,"6,32",94 %,240, 
"Universidad de Córdoba","Centro Magisterio ""Sagrado Corazón""","Grado en Educación Infantil",Pública / Adscrito,100,5,"6,74",94 %,240, 
"Universidad de Granada","Facultad de Educación, Economía y Tecnología de Ceuta","Grado en Educación Infantil",Pública / Propio,70,5,"7,85",91 %,240,"12,62 €" 
"Universidad de Granada","Facultad de Ciencias de la Educación y del Deporte de Melilla","Grado en Educación Infantil",Pública / Propio,65,5,"8,06",91 %,240,"12,62 €" 
"Universidad de Granada","Centro de Magisterio La Inmaculada","Grado en Educación Infantil",Pública / Adscrito,130,5,"6,84",91 %,240, 
Universidad de Jaén,"Centro Universitario Sagrada Familia (Úbeda)","Grado en Educación Infantil",Pública / Adscrito,75,5,"7,63",92 %,240, 
Universidad de Jaén,"Facultad de Humanidades y Ciencias de la Educación","Grado en Educación Infantil",Pública / Propio,225,5,"7,05",92 %,240,"12,62 €" 
Universidad de Lleida,"Facultad de Educación, Psicología y Trabajo Social","Grado en Educación Infantil",Pública / Propio,95,5,"7,49",92 %,240,"25,27 €" 
Universidad de Málaga,"Centro de Magisterio María Inmaculada (Antequera)","Grado en Educación Infantil",Pública / Adscrito,65,5,"7,54",97 %,240, 
"Universidad de Salamanca","Escuela Universitaria de Magisterio","Grado en Maestro en Educación Infantil",Pública / Propio,65,5,"6,51",89 %,240,"15,22 €" 
"Universidad de Salamanca","Escuela Universitaria de Educación y Turismo","Grado en Maestro en Educación Infantil",Pública / Propio,70,5,"7,13",89 %,240,"15,22 €" 
Universidad de Sevilla,"Centro Universitario de Osuna","Grado en Educación Infantil",Pública / Adscrito,75,5,"7,15",95 %,240, 
Universidad de Sevilla,"Centro de Estudios Universitarios Cardenal Spínola","Grado en Educación Infantil",Pública / Adscrito,180,5,"6,67",95 %,240, 
"Universidad de Valladolid","Facultad de Educación de Palencia","Grado en Educación Infantil",Pública / Propio,20,5,"6,08",93 %,240,"15,22 €" 
"Universidad de Valladolid","Facultad de Educación de Soria","Grado en Educación Infantil",Pública / Propio,80,5,"6,57",93 %,240,"15,22 €" 
"Universidad de Valladolid","Facultad de Educación de Segovia","Grado en Educación Infantil",Pública / Propio,40,5,"6,43",93 %,240,"15,22 €" 
"Universidad de Vic- Universidad Central de Catalunya","Facultad de Educación, Traducción y Ciencias Humanas","Grado en Maestro de Educación Infantil",Privada / Propio,90,5,-,97 %,240, 
"Universidad de Vic- Universidad Central de Catalunya","Facultad de Ciencias Sociales de Manresa","Grado en Maestro de Educación Infantil",Privada / Propio,50,5,-,97 %,240, 
"Universidad de Zaragoza","Facultad de Ciencias Sociales y Humanas","Grado en Magisterio en Educación Infantil",Pública / Propio,120,5,"7,56",87 %,240,"16,20 €" 
"Universitat de València (Estudi General)","Centro Florida Universitaria","Grado en Maestro/a en Educación Infantil",Pública / Adscrito,80,5,"6,6",95 %,240, 
"Universidad Complutense de Madrid","Escuela Universitaria de Profesorado de E.G.B. Escuni","Grado en Maestro en Educación Primaria",Pública / Adscrito,150,5,"7,31",93 %,240, 
"Universidad Complutense de Madrid","Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco","Grado en Maestro en Educación Primaria",Pública / Adscrito,140,5,"7,35",93 %,240, 
Universidad de Almería,"Facultad de Ciencias de la Educación","Grado en Educación Primaria",Pública / Propio,208,5,"9,06",91 %,240,"12,62 €" 
Universidad de Burgos,Facultad de Educación,"Grado en Maestro de Educación Primaria",Pública / Propio,150,5,"6,99",89 %,240,"15,22 €" 
Universidad de Cádiz,"Centro de Magisterio Virgen de Europa","Grado en Educación Primaria",Pública / Adscrito,90,5,"6,44",87 %,240, 
"Universidad de Córdoba","Centro Magisterio ""Sagrado Corazón""","Grado en Educación Primaria",Pública / Adscrito,150,5,"7,15",90 %,240, 
"Universidad de Granada","Facultad de Ciencias de la Educación y del Deporte de Melilla","Grado en Educación Primaria",Pública / Propio,65,5,"7,48",88 %,240,"12,62 €" 
"Universidad de Granada","Facultad de Educación, Economía y Tecnología de Ceuta","Grado en Educación Primaria",Pública / Propio,140,5,"7,87",88 %,240,"12,62 €" 
"Universidad de Granada","Centro de Magisterio La Inmaculada","Grado en Educación Primaria",Pública / Adscrito,195,5,"7,06",88 %,240, 
Universidad de Jaén,"Facultad de Humanidades y Ciencias de la Educación","Grado en Educación Primaria",Pública / Propio,300,5,"7,89",88 %,240,"12,62 €" 
Universidad de Jaén,"Centro Universitario Sagrada Familia (Úbeda)","Grado en Educación Primaria",Pública / Adscrito,130,5,"7,1",88 %,240, 
"Universidad de Las Palmas de Gran Canaria","Estructura Teleformación ULPGC","Grado en Educación Primaria",Pública / Propio,240,5,"6,72",88 %,240,"10,16 €" 
Universidad de Málaga,"Centro de Magisterio María Inmaculada (Antequera)","Grado en Educación Primaria",Pública / Adscrito,100,5,"8,02",95 %,240, 
"Universidad de Salamanca","Escuela Universitaria de Educación y Turismo","Grado en Maestro en Educación Primaria",Pública / Propio,70,5,"6,77",89 %,240,"15,22 €" 
"Universidad de Salamanca","Escuela Universitaria de Magisterio","Grado en Maestro en Educación Primaria",Pública / Propio,75,5,"6,37",89 %,240,"15,22 €" 
Universidad de Sevilla,"Centro de Estudios Universitarios Cardenal Spínola","Grado en Educación Primaria",Pública / Adscrito,330,5,"7,32",85 %,240, 
Universidad de Sevilla,"Centro Universitario de Osuna","Grado en Educación Primaria",Pública / Adscrito,75,5,"7,56",85 %,240, 
"Universidad de Valladolid","Facultad de Educación de Segovia","Grado en Educación Primaria",Pública / Propio,80,5,"6,3",86 %,240,"15,22 €" 
"Universidad de Valladolid","Facultad de Educación de Palencia","Grado en Educación Primaria",Pública / Propio,80,5,"6,17",86 %,240,"15,22 €" 
"Universidad de Valladolid","Facultad de Educación de Soria","Grado en Educación Primaria",Pública / Propio,80,5,"6,64",86 %,240,"15,22 €" 
"Universidad de Vic- Universidad Central de Catalunya","Facultad de Educación, Traducción y Ciencias Humanas","Grado en Maestro de Educación Primaria",Privada / Propio,100,5,-,96 %,240, 
"Universidad de Zaragoza","Facultad de Ciencias Sociales y Humanas","Grado en Magisterio en Educación Primaria",Pública / Propio,120,5,"7,72",86 %,240,"16,20 €" 
"Universidad Complutense de Madrid","Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco","Grado en Educación Social",Pública / Adscrito,30,5,n/d,95 %,240, 
"Universidad Complutense de Madrid","Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco",Grado en Pedagogía,Pública / Adscrito,30,5,"7,35",94 %,240, 
Universidad de Burgos,Facultad de Educación,Grado en Pedagogía,Pública / Propio,65,5,"6,51",93 %,240,"15,22 €" 
"Universidad de Granada","Facultad de Educación, Economía y Tecnología de Ceuta","Grado en Educación Social",Pública / Propio,70,5,"7,71",90 %,240,"12,62 €" 
"Universidad de Granada","Facultad de Ciencias de la Educación y del Deporte de Melilla","Grado en Educación Social",Pública / Propio,70,5,"7,17",90 %,240,"12,62 €" 
Universidad de Huelva,"Facultad de Educación, Psicología y Ciencias del Deporte","Grado en Educación Social",Pública / Propio,106,5,"7,35",94 %,240,"12,62 €" 
"Universidad de Salamanca",Facultad de Educación,Grado en Pedagogía,Pública / Propio,75,5,"7,06",85 %,240,"15,22 €" 
"Universidad de Valladolid","Facultad de Educación de Palencia","Grado en Educación Social",Pública / Propio,40,5,"6,14",92 %,240,"14,05 €" 
"Universidad de Vic- Universidad Central de Catalunya","Facultad de Educación, Traducción y Ciencias Humanas","Grado en Educación Social",Privada / Propio,55,5,-,96 %,240, 
"Universidad de Barcelona","ENTI - Escuela de Nuevas Tecnologías Interactivas","Grado en Contenidos Digitales Interactivos",Pública / Adscrito,80,5,"7,76",74 %,240, 
"Universidad de Barcelona","ENTI - Escuela de Nuevas Tecnologías Interactivas","Grado en Creación Artística para Videojuegos y Juegos Aplicados",Pública / Adscrito,80,5,"7,8",81 %,180, 
"Universidad de Córdoba","Facultad de Filosofía y Letras","Grado en Cine y Cultura",Pública / Propio,125,5,"7,8",78 %,240,"12,62 €" 
Universidad de Sevilla,"Centro Universitario EUSA","Grado en Comunicación Audiovisual",Pública / Adscrito,120,5,"7,92",87 %,240, 
"Universidad de Vic- Universidad Central de Catalunya","Facultad de Empresa y Comunicación","Grado en Comunicación Audiovisual",Privada / Propio,50,5,-,94 %,240, 
"Universidad Pablo de Olavide","Centro Universitario San Isidoro","Grado en Comunicación Digital",Pública / Adscrito,50,5,"8,4",92 %,240, 
"Universidad Politécnica de Catalunya","Centro de la Imagen y la Tecnología Multimedia",Grado en Multimedia,Pública / Adscrito,40,5,"8,79",91 %,240, 
"Universidad Pompeu Fabra","Escuela Superior Politécnica Tecnocampus","Grado en Medios Audiovisuales",Pública / Adscrito,140,5,"8,58",84 %,240, 
"Universidad Autónoma de Barcelona","Escuela Massana. Centro Municipal de Arte y Diseño","Grado en Artes y Diseño",Pública / Adscrito,95,5,"8,65",86 %,240, 
"Universidad Autónoma de Barcelona","EINA. Centro Universitario de Diseño y Arte",Grado en Diseño,Pública / Adscrito,110,5,"7,81",90 %,240, 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,80,5,"8,76",78 %,240,"25,27 €" 
"Universidad de Barcelona",Facultad de Bellas Artes,"Grado en Conservación- Restauración de Bienes Culturales",Pública / Propio,50,5,"7,67",89 %,240,"35,77 €" 
"Universidad de Barcelona","Centro Universitario Internacional de Barcelona (UNIBA)",Grado en Diseño,Pública / Adscrito,90,5,"6,62",76 %,240, 
"Universidad de Barcelona","Facultad de Geografía e Historia","Grado en Historia del Arte",Pública / Propio,180,5,"8,39",77 %,240,"25,27 €" 
"Universidad de Barcelona","ENTI - Escuela de Nuevas Tecnologías Interactivas","Grado en Producción de Música y Sonido para la Industria del Entretenimiento",Pública / Adscrito,60,5,"7,74",96 %,180, 
"Universidad de Córdoba","Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,50,5,"8,25",74 %,240,"12,62 €" 
Universidad de Girona,"Escuela Universitaria (ERAM)","Grado en Artes Escénicas",Pública / Adscrito,40,5,"8,26",91 %,240, 
Universidad de Girona,Facultad de Letras,"Grado en Historia del Arte",Pública / Propio,50,5,"7,88",80 %,240,"25,27 €" 
"Universidad de Granada","Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,150,5,"8,78",70 %,240,"12,62 €" 
Universidad de Jaén,"Facultad de Humanidades y Ciencias de la Educación","Grado en Historia del Arte",Pública / Propio,50,5,"8,61",77 %,240,"12,62 €" 
Universidad de León,"Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,25,5,"9,42",62 %,240,"12,94 €" 
Universidad de Lleida,Facultad de Letras,"Grado en Historia del Arte y Gestión del Patrimonio Artístico",Pública / Propio,30,5,n/d,80 %,240,"25,27 €" 
Universidad de Málaga,"Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,100,5,"8,31",73 %,240,"12,62 €" 
"Universidad de Salamanca",Facultad de Bellas Artes,Grado en Bellas Artes,Pública / Propio,150,5,"8,57",92 %,240,"15,22 €" 
"Universidad de Salamanca","Facultad de Geografía e Historia","Grado en Historia del Arte",Pública / Propio,70,5,"8,31",79 %,240,"12,94 €" 
"Universidad de Salamanca","Facultad de Geografía e Historia","Grado en Historia y Ciencias de la Música",Pública / Propio,45,5,"7,72",79 %,240,"14,05 €" 
Universidad de Sevilla,"Facultad de Geografía e Historia","Grado en Historia del Arte",Pública / Propio,200,5,"8,83",63 %,240,"12,62 €" 
"Universidad de Valladolid","Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,35,5,"7,95",76 %,240,"12,94 €" 
"Universidad de Valladolid","Facultad de Filosofía y Letras","Grado en Historia y Ciencias de la Música",Pública / Propio,30,5,"7,13",71 %,240,"14,05 €" 
"Universidad de Zaragoza","Facultad de Ciencias Sociales y Humanas",Grado en Bellas Artes,Pública / Propio,50,5,"8,44",91 %,240,"23,39 €" 
"Universidad de Zaragoza","Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,120,5,"8,85",69 %,240,"13,70 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea",Facultad de Letras,"Grado en Historia del Arte",Pública / Propio,60,5,"8,63",75 %,240,"14,08 €" 
"Universidad Pompeu Fabra","Elisava Escuela Superior de Diseño",Grado en Diseño,Pública / Adscrito,175,5,"8,23",88 %,240, 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Estudios de Catalán y Español",Pública / Propio,30,5,"9,34",71 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Estudios de Inglés y Catalán",Pública / Propio,30,5,"7,78",62 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Estudios de Inglés y de Clásicas",Pública / Propio,30,5,"8,5",67 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Estudios de Inglés y Francés",Pública / Propio,30,5,"8,92",75 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Estudios Franceses",Pública / Propio,40,5,n/d,71 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Lengua y Literatura Catalanas",Pública / Propio,50,5,"9,65",77 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Lengua y Literatura Españolas",Pública / Propio,60,5,"8,91",71 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona","Facultad de Traducción e Interpretación","Grado en Traducción e Interpretación",Pública / Propio,230,5,"9,86",88 %,240,"35,77 €" 
"Universidad de A Coruña",Facultad de Filología,"Grado en Español: Estudios Lingüísticos y Literarios",Pública / Propio,30,5,"7,06",62 %,240,"9,85 €" 
